Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Stepping Stone School,78729,12/23/2015,97,"6616 MC NEIL DR
AUSTIN, TX 78729
(30.4391284607333, -97.7564483561348)",2801271,Routine Inspection
RW - Panera Bread Bakery and Cafe,78746,12/23/2015,97,"2805 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.2707390614282, -97.7895026505002)",10003334,Routine Inspection
Jersey Mike's Subs,78726,12/23/2015,95,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4546608628512, -97.8258958233743)",2802712,Routine Inspection
Premos Food Store,78723,12/23/2015,95,"5327 CAMERON RD
AUSTIN, TX 78723
(30.3110360271453, -97.7070979904603)",11230917,Routine Inspection
Barton Hill Food Mart,78704,12/23/2015,89,"2900 S LAMAR BLVD
AUSTIN, TX 78704
(30.2436785545569, -97.7828630255971)",10235373,Routine Inspection
Eco Kids,78754,12/23/2015,100,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.3306785177997, -97.6671015431822)",10716204,Routine Inspection
BC - Speedy Stop #116,78738,12/22/2015,98,"13006 W SH
BEE CAVE, TX 78738
(30.3087603704862, -97.9443948311801)",10974171,Routine Inspection
El Nuevo Mexico Restaurant,78757,12/22/2015,81,"911 W ANDERSON LN
AUSTIN, TX 78757
(30.3480044708166, -97.7147979677337)",10206751,Routine Inspection
JR's Tacos,78758,12/22/2015,91,"1921 CEDAR BEND DR
AUSTIN, TX 78758
(30.408322328997, -97.6982433226702)",10964220,Routine Inspection
Econo Lodge,78758,12/22/2015,91,"9100 BURNET RD
AUSTIN, TX 78758
(30.3747904817031, -97.7264170496741)",10778546,Routine Inspection
Americas Best Value Inn - South Austin,78741,12/22/2015,97,"2915 S IH
AUSTIN, TX 78741
(30.226766784411, -97.7439170507289)",10994739,Routine Inspection
Orange Market,78705,12/22/2015,95,"910 W 25TH ST
AUSTIN, TX 78705
(30.2896452217701, -97.7473569758354)",10519741,Routine Inspection
7-Eleven Convenience Store # 35473A,78660,12/22/2015,90,"1624 E HOWARD LN
AUSTIN, TX 78660
(30.4041588619342, -97.6386472386814)",11348497,Routine Inspection
Star Stop 74,78705,12/22/2015,97,"2819 GUADALUPE ST
AUSTIN, TX 78705
(30.2949047180537, -97.7423474899097)",11027963,Routine Inspection
Hi Hat Public House,78702,12/22/2015,93,"2121 E 6TH ST
AUSTIN, TX 78702
(30.2602028240865, -97.7190856105331)",10841589,Routine Inspection
McDonald's- Avery Ranch,78717,12/22/2015,82,"10525 W PARMER LN
AUSTIN, TX 78717
(30.4969790274196, -97.7757482298026)",10334263,Routine Inspection
Kid Spa Austin,78717,12/22/2015,90,"10526 W PARMER LN
AUSTIN, TX 78717
(30.4973816057576, -97.7739543525724)",10894074,Routine Inspection
Stop-N-Express,78723,12/22/2015,91,"5301 MANOR RD
AUSTIN, TX 78723
(30.300000169276, -97.6855081971729)",10300378,Routine Inspection
Paisano's Cucina Italiana,78717,12/22/2015,84,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.4794311448911, -97.7993796956424)",10715058,Routine Inspection
Amy's Ice Cream,78704,12/22/2015,96,"3100 S CONGRESS AVE
AUSTIN, TX 78704
(30.2318104602831, -97.7593281069443)",2802819,Routine Inspection
Shahi Food Market,78758,12/22/2015,80,"12410 N LAMAR BLVD
AUSTIN, TX 78758
(30.4066900253572, -97.6788692603716)",2803821,Routine Inspection
Dragon Mart,78705,12/22/2015,95,"3201 N LAMAR BLVD
AUSTIN, TX 78705
(30.301524287395, -97.7450446265573)",11019502,Routine Inspection
Muchos Imports#2,78741,12/22/2015,92,"1723 E OLTORF ST
AUSTIN, TX 78741
(30.2326394904044, -97.7383618077555)",2803619,Routine Inspection
Chicken Lollypop,78753,12/22/2015,92,"1005 E BRAKER LN
AUSTIN, TX 78753
(30.3749101576199, -97.6723315426131)",10874815,Routine Inspection
K1 Speed,78758,12/22/2015,87,"2500 MC HALE CT
AUSTIN, TX 78758
(30.3851472596582, -97.7212246080011)",10771103,Routine Inspection
Jasper's,78758,12/22/2015,83,"11506 CENTURY OAKS TER
AUSTIN, TX 78758
(30.4025739974381, -97.7258935626451)",10006802,Routine Inspection
Barton Hills Market #1,78704,12/22/2015,91,"1220 BARTON HILLS DR
AUSTIN, TX 78704
(30.2618686185878, -97.775110921398)",10400697,Routine Inspection
Menchie's Frozen Yogurt,78613,12/22/2015,100,"14028 N US 183 HWY
AUSTIN, TX 78613
(30.4759430371357, -97.8025813361616)",11075955,Routine Inspection
Papa John's Pizza #930,78758,12/22/2015,84,"1925 RUTLAND DR
AUSTIN, TX 78758
(30.3788756448479, -97.7130952607857)",2800815,Routine Inspection
El Chilito,78722,12/22/2015,82,"2219 MANOR RD
AUSTIN, TX 78722
(30.2843488189785, -97.7182974344747)",2802599,1st Follow Up to Routine of 50 - 69
Elizabeth Street Cafe,78704,12/22/2015,70,"1501 S 1ST ST
AUSTIN, TX 78704
(30.249808260745, -97.7546611395011)",10687176,Routine Inspection
Cafe Ruckus,78701,12/22/2015,92,"409 W 2ND ST
AUSTIN, TX 78701
(30.2652520876288, -97.7480249286283)",11064040,Routine Inspection
Subway #4173,78745,12/22/2015,100,"500 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.1965500424593, -97.7851124181643)",10184874,Routine Inspection
Taco Cabana #123,78701,12/22/2015,80,"517 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.2819570470243, -97.7436293708945)",2800043,Routine Inspection
E. Braker Ln. Food Mart,78753,12/22/2015,92,"1005 E BRAKER LN
AUSTIN, TX 78753
(30.3749101576199, -97.6723315426131)",10285262,Routine Inspection
Ken's Donuts,78705,12/22/2015,83,"2820 GUADALUPE ST
AUSTIN, TX 78705
(30.2949013352839, -97.7429965211635)",2800639,1st Follow Up to Routine of 50 - 69
TJ's Seafood,78752,12/22/2015,84,"7110 CAMERON RD
AUSTIN, TX 78752
(30.3260125546207, -97.6932079530878)",10907632,Routine Inspection
Family Dollar Store #10276,78752,12/22/2015,95,"7517 CAMERON RD
AUSTIN, TX 78752
(30.3290804772813, -97.6892646263925)",10878668,Routine Inspection
Whataburger,78705,12/22/2015,97,"2800 GUADALUPE ST
AUSTIN, TX 78705
(30.2934996298746, -97.7422283319948)",10434244,Routine Inspection
Subway,78723,12/22/2015,91,"5419 N IH
AUSTIN, TX 78723
(30.3139541242185, -97.7076327732211)",2802057,Routine Inspection
Juice Land Burnet,78757,12/22/2015,90,"7329 BURNET RD
AUSTIN, TX 78757
(30.3492505334205, -97.7346655611647)",10757816,Routine Inspection
Austin Java - Parkway,78703,12/22/2015,89,"1206 PARKWAY
AUSTIN, TX 78703
(30.2775593199149, -97.7515289429547)",11245647,Routine Inspection
Fleming's Prime Steakhouse & Wine Bar,78701,12/21/2015,88,"320 E 2ND ST
AUSTIN, TX 78701
(30.263748097883, -97.7413058283093)",2801747,Routine Inspection
Dollar General Store #3273,78745,12/21/2015,95,"709 W STASSNEY LN
AUSTIN, TX 78745
(30.2082115490421, -97.783465353756)",10046160,Routine Inspection
Subway #43067,78758,12/21/2015,96,"1910 W BRAKER LN
AUSTIN, TX 78758
(30.3923075644652, -97.7066994048772)",10091620,Routine Inspection
Domino's Pizza,78748,12/21/2015,96,"1807 W SLAUGHTER LN
AUSTIN, TX 78748
(30.1726547209338, -97.8225553133954)",10010126,Routine Inspection
Sprouts Farmers Market,78759,12/21/2015,92,"10225 RESEARCH BLVD
AUSTIN, TX 78759
(30.3946060770567, -97.7447151639823)",10297855,Routine Inspection
Holiday Inn Austin Airport,78744,12/21/2015,90,"6711 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.2127065534177, -97.7051574041692)",11094488,Routine Inspection
Happy Faces Bilingual Child Care,78752,12/21/2015,100,"7109 BLESSING AVE
AUSTIN, TX 78752
(30.3283909587357, -97.6951150444367)",2801722,Routine Inspection
Gattitown #2006,78748,12/21/2015,98,"9900 S IH
AUSTIN, TX 78748
(30.1572180091149, -97.7932160719068)",10065343,Routine Inspection
Taco Bell #030168,78758,12/21/2015,98,"2600 W BRAKER LN
AUSTIN, TX 78758
(30.3910647410297, -97.7200996412459)",11066721,Routine Inspection
Wyndham Garden Hotel Lounge/Cafe,78741,12/21/2015,86,"3401 S IH
AUSTIN, TX 78741
(30.223075611659, -97.7458246192733)",2802633,Routine Inspection
Lamar Food Store,78704,12/21/2015,95,"1222 S LAMAR BLVD
AUSTIN, TX 78704
(30.2542089363378, -97.7631179787182)",10761359,Routine Inspection
Bamboo Bistro,78758,12/21/2015,88,"11101 BURNET RD
AUSTIN, TX 78758
(30.3954579075658, -97.7194445594794)",10439962,Routine Inspection
Magnolia Cafe South,78704,12/21/2015,79,"1920 S CONGRESS AVE
AUSTIN, TX 78704
(30.2444867724501, -97.7519499013848)",2800136,Routine Inspection
Walgreens #4632,78758,12/21/2015,100,"1910 W BRAKER LN
AUSTIN, TX 78758
(30.3923075644652, -97.7066994048772)",2803784,Routine Inspection
Metro Mart #4,78758,12/21/2015,90,"1600 OHLEN RD
AUSTIN, TX 78758
(30.3643734860675, -97.715342598949)",2803475,Routine Inspection
Los Pepes Mexican Food,78723,12/21/2015,90,"4700 LOYOLA LN
AUSTIN, TX 78723
(30.3096603046908, -97.6663090781324)",10818868,Routine Inspection
Jack in the Box #905,78754,12/21/2015,84,"8706 E US 290 HWY
AUSTIN, TX 78754
(30.3292756124007, -97.6582319355056)",10789972,Routine Inspection
El Buen Pastor Child Dev. Cent,78702,12/21/2015,100,"1208 WILLOW ST
AUSTIN, TX 78702
(30.2590967248975, -97.7321055247117)",2801293,Routine Inspection
Jason's Deli,78729,12/21/2015,89,"13729 N US 183 HWY
AUSTIN, TX 78729
(30.4589810843057, -97.792075829705)",2801512,Routine Inspection
Jalapeno's Taco Bar,78745,12/21/2015,85,"1940 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.2031906821655, -97.8057204997336)",11249276,Routine Inspection
CVS Pharmacy #6945,78741,12/21/2015,95,"4405 E RIVERSIDE DR
AUSTIN, TX 78741
(30.2329808346292, -97.7237898057679)",2804035,Routine Inspection
Little Munchkins Learning Ctr,78758,12/21/2015,93,"2020 DENTON DR
AUSTIN, TX 78758
(30.3859206617649, -97.713294022829)",10708803,Routine Inspection
Friends,78701,12/21/2015,95,"208 E 6TH ST
AUSTIN, TX 78701
(30.2677772000313, -97.740809254272)",2801887,Routine Inspection
Tinos Greek Cafe,78723,12/21/2015,86,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.3063597043884, -97.7091676749363)",10641759,Routine Inspection
Chick-fil-A,78701,12/21/2015,86,"503 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.2817085232409, -97.7431647014461)",10939383,Routine Inspection
Lone Star Family Market,78745,12/21/2015,99,"512 W STASSNEY LN
AUSTIN, TX 78745
(30.2082563731793, -97.7801290719238)",10303954,Routine Inspection
Tokyo Gardens Catering,78660,12/21/2015,100,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.4426882711787, -97.6642123367244)",10747701,Routine Inspection
Corner Store #2141,78758,12/21/2015,99,"9433 PARKFIELD DR
AUSTIN, TX 78758
(30.3684277991736, -97.705338475172)",2803586,Routine Inspection
El Mercado North,78757,12/21/2015,81,"7414 BURNET RD
AUSTIN, TX 78757
(30.3502559222735, -97.7351620193274)",2800466,Routine Inspection
"Oak Haven Kids Club, LLC",78750,12/21/2015,96,"12809 N FM 620 RD
AUSTIN, TX 78750
(30.4658771780617, -97.802779379403)",11369848,Routine Inspection
Pizza Patron # 20,78704,12/21/2015,97,"533 W OLTORF ST
AUSTIN, TX 78704
(30.2416718670809, -97.7595388172943)",11152377,Routine Inspection
WL - Mother Teresa House,78746,12/21/2015,100,"903 S CAPITAL OF TEXAS HWY
WEST LAKE HILLS, TX 78746
(30.2890721016681, -97.8261055783859)",2803248,Routine Inspection
Country Home Learning Center #8,78750,12/21/2015,93,"13120 N US 183 HWY
AUSTIN, TX 78750
(30.4399414940014, -97.7813120355364)",2800795,Routine Inspection
Taco Bell #030140,78704,12/21/2015,100,"201 E OLTORF ST
AUSTIN, TX 78704
(30.2377858228877, -97.7525050275597)",11066742,Routine Inspection
El Meson,78704,12/19/2015,95,"2038 S LAMAR BLVD
AUSTIN, TX 78704
(30.2490101474442, -97.7689475627541)",10405911,Routine Inspection
Freebirds World Burrito,78704,12/19/2015,95,"4032 S LAMAR BLVD
AUSTIN, TX 78704
(30.2368892654889, -97.7939994225763)",10197096,Routine Inspection
P. Terry's Burger Stand,78757,12/18/2015,93,"8515 BURNET RD
AUSTIN, TX 78757
(30.367075155313, -97.7275809094759)",11165140,Routine Inspection
La Hacienda Taqueria Bakery,78752,12/18/2015,85,"7517 CAMERON RD
AUSTIN, TX 78752
(30.3290804772813, -97.6892646263925)",2802794,Routine Inspection
Wells Food Store & Cafe,78702,12/18/2015,98,"1918 ROSEWOOD AVE
AUSTIN, TX 78702
(30.2700751538258, -97.7182758038339)",11103762,Routine Inspection
Silverado Senior Living - Onion Creek,78748,12/18/2015,93,"11330 FARRAH LN
AUSTIN, TX 78748
(30.1401951809728, -97.8016677489898)",11253095,Routine Inspection
Which Wich,78723,12/18/2015,86,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.3063597043884, -97.7091676749363)",10065180,Routine Inspection
Subway,78757,12/18/2015,88,"7020 EASY WIND DR
AUSTIN, TX 78757
(30.3385173305091, -97.7187610409771)",10988259,Routine Inspection
Magnolia Cafe,78703,12/18/2015,89,"2304 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780808560511, -97.7716229026485)",2800418,Routine Inspection
Star Seeds Cafe,78722,12/18/2015,86,"3101 N IH
AUSTIN, TX 78722
(30.2885223975102, -97.7232063018591)",2801964,Routine Inspection
Andiamo Italiano,78758,12/18/2015,92,"2521 RUTLAND DR
AUSTIN, TX 78758
(30.3825725868793, -97.7231001868741)",10403775,Routine Inspection
MN - Ramos Mexican Restaurant,78653,12/18/2015,82,"116 E PARSONS ST
MANOR, TX 78653
(30.3407840289877, -97.5569574648558)",2801907,Routine Inspection
Midtown Live,78752,12/18/2015,60,"7408 CAMERON RD
AUSTIN, TX 78752
(30.3298235542338, -97.6904879344291)",10730352,Routine Inspection
Race Express,78744,12/18/2015,97,"4718 S US 183 HWY
AUSTIN, TX 78744
(30.1836285873423, -97.6878854141181)",11249310,Routine Inspection
Bread Basket #1,78702,12/18/2015,93,"2228 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.2555164530508, -97.7194087346737)",10756615,Routine Inspection
Papa Murphy's Pizza,78748,12/18/2015,97,"2110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.1754302991165, -97.8256499028742)",10894067,Routine Inspection
Randall's #2490-Retail,78759,12/18/2015,89,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.4015044666457, -97.7467850903769)",2803863,Routine Inspection
Austex Shell,78750,12/18/2015,98,"13296 N US 183 HWY
AUSTIN, TX 78750
(30.4432487982258, -97.786644501139)",10103836,Routine Inspection
Walgreens,78730,12/18/2015,98,"6911 N FM 620 RD
AUSTIN, TX 78730
(30.4021774628966, -97.8544990495888)",2803852,Routine Inspection
MN - 10555 Manor,78653,12/18/2015,91,"11016 E US 290 HWY
MANOR, TX 78653
(30.3489788325955, -97.5584193254236)",10752569,Routine Inspection
Torchy's Tacos,78723,12/18/2015,90,"1801 E 51ST ST
AUSTIN, TX 78723
(30.3017906709062, -97.6986712261156)",11232472,Routine Inspection
La Hacienda Market,78752,12/18/2015,87,"7517 CAMERON RD
AUSTIN, TX 78752
(30.3290804772813, -97.6892646263925)",2804097,Routine Inspection
"Counter Cafe, The",78703,12/18/2015,86,"626 N LAMAR BLVD
AUSTIN, TX 78703
(30.2726704607653, -97.7537755710683)",10005142,Routine Inspection
Walgreens #11513,78749,12/18/2015,100,"5011 W SLAUGHTER LN
AUSTIN, TX 78749
(30.199950283692, -97.8647086577461)",10108941,Routine Inspection
Teri Metro Mart,78744,12/18/2015,95,"2008 TERI RD
AUSTIN, TX 78744
(30.2026418724355, -97.7522890844705)",2803675,Routine Inspection
Randall's #2490-Bakery,78759,12/18/2015,99,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.4015044666457, -97.7467850903769)",2801168,Routine Inspection
Subs-N-More / AM Petroleum,78721,12/18/2015,89,"3926 ED BLUESTEIN BLVD
AUSTIN, TX 78721
(30.2753277529451, -97.668981454743)",2802112,Routine Inspection
Starbucks Coffee #15747,78726,12/18/2015,99,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4546608628512, -97.8258958233743)",10657955,Routine Inspection
Subway,78736,12/18/2015,91,"9520 W US 290 HWY
AUSTIN, TX 78736
(30.2310431754947, -97.9339223372815)",10001477,Routine Inspection
Randall's #2490-Deli,78759,12/18/2015,91,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.4015044666457, -97.7467850903769)",2801125,Routine Inspection
Crema Bakery & Cafe,78748,12/18/2015,93,"9001 BRODIE LN
AUSTIN, TX 78748
(30.1939629127623, -97.8426304540056)",10892863,Routine Inspection
Porfirio's Tacos,78702,12/18/2015,83,"1512 HOLLY ST
AUSTIN, TX 78702
(30.2552918146542, -97.7305574382292)",2800077,Routine Inspection
Catfish Parlour,78759,12/17/2015,92,"11910 RESEARCH BLVD
AUSTIN, TX 78759
(30.4243257021535, -97.7506840339488)",2800102,Routine Inspection
Rudy's Country Store and BBQ,78726,12/17/2015,95,"7709 N FM 620 RD
AUSTIN, TX 78726
(30.4107881576269, -97.8495245737949)",2802147,Routine Inspection
Starbucks Coffee #6470,78701,12/17/2015,98,"1001 CONGRESS AVE
AUSTIN, TX 78701
(30.2718541443653, -97.740991284352)",2801981,Routine Inspection
Pizza Hut,78753,12/17/2015,96,"8500 N LAMAR BLVD
AUSTIN, TX 78753
(30.3536623263237, -97.7058049920014)",2802468,Routine Inspection
Omkar Food Mart,78758,12/17/2015,96,"812 THURMOND ST
AUSTIN, TX 78758
(30.3539118480096, -97.7060360473718)",2803743,Routine Inspection
Taco Bell,78758,12/17/2015,99,"1825 W PARMER LN
AUSTIN, TX 78758
(30.413714896447, -97.6928614449026)",11066597,Routine Inspection
Caspian Grill,78759,12/17/2015,91,"12518 RESEARCH BLVD
AUSTIN, TX 78759
(30.4287192888917, -97.7604742351356)",11265779,Routine Inspection
International House of Pancake,78744,12/17/2015,90,"8801 S IH
AUSTIN, TX 78744
(30.168340735636, -97.7826025322312)",2802338,Routine Inspection
Minimax Food Mart #3,78753,12/17/2015,85,"11800 DESSAU RD
AUSTIN, TX 78753
(30.3777780099607, -97.6588780901412)",11086976,Routine Inspection
International House of Pancakes,78701,12/17/2015,96,"707 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.2611622684174, -97.7370442740155)",2803009,Routine Inspection
Shop N Save,78741,12/17/2015,83,"2204 WOODLAND AVE
AUSTIN, TX 78741
(30.2361048313406, -97.7280939506882)",10557364,Routine Inspection
Rita's Mexican Restaurant,78758,12/17/2015,86,"1934 RUTLAND DR
AUSTIN, TX 78758
(30.3797268657532, -97.7130269218767)",2800557,Routine Inspection
House Park Bar-B-Que,78703,12/17/2015,89,"900 W 12TH ST
AUSTIN, TX 78703
(30.2767233174158, -97.7504171586442)",2800400,Routine Inspection
Sonic,78759,12/17/2015,95,"11881 JOLLYVILLE RD
AUSTIN, TX 78759
(30.4238094252617, -97.7561962059947)",2801435,Routine Inspection
County Line On The Hill,78746,12/17/2015,96,"6500 FM 2244 RD
AUSTIN, TX 78746
(30.2977125186958, -97.8354331972717)",2800427,Routine Inspection
Patsy's,78744,12/17/2015,90,"5001 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.2134190475048, -97.7281954760499)",10002156,Routine Inspection
Tailor Made Treats,78745,12/17/2015,100,"209 E BEN WHITE BLVD
AUSTIN, TX 78745
(30.2205733180782, -97.7617412325499)",10968823,Routine Inspection
Mi Pueblito Market,78741,12/17/2015,82,"2030 E OLTORF ST
AUSTIN, TX 78741
(30.2307857170139, -97.7321561928907)",10214537,Routine Inspection
Freddy's Frozen Custard & Steakburgers,78726,12/17/2015,85,"8300 N FM 620 RD
AUSTIN, TX 78726
(30.4219185413685, -97.847254232714)",10869231,Routine Inspection
Courtesy Shell #4,78741,12/17/2015,97,"2241 S IH
AUSTIN, TX 78741
(30.2338950595628, -97.7399226583385)",11130514,Routine Inspection
GM Cafe,78753,12/17/2015,97,"717 E PARMER LN
AUSTIN, TX 78753
(30.4018842521223, -97.660220676535)",11258198,Routine Inspection
"Coffee Bean & Tea Leaf,The",78739,12/17/2015,100,"5701 W SLAUGHTER LN
AUSTIN, TX 78739
(30.2001701702093, -97.8685033194062)",10689454,Routine Inspection
Q.P. Food Mart,78745,12/17/2015,99,"5625 WEST GATE BLVD
AUSTIN, TX 78745
(30.219589780577, -97.8063712726482)",2803796,Routine Inspection
Friendly Mart,78745,12/17/2015,92,"7200 MANCHACA RD
AUSTIN, TX 78745
(30.2000653123676, -97.8080376481382)",2803510,Routine Inspection
Freebirds,78753,12/17/2015,93,"1100 CENTER RIDGE DR
AUSTIN, TX 78753
(30.4180465190909, -97.6712409015396)",10069518,Routine Inspection
Subway #32725,78753,12/17/2015,91,"13609 N IH
AUSTIN, TX 78753
(30.4226038688439, -97.6702299648829)",2802490,Routine Inspection
Quality Seafood,78751,12/17/2015,84,"5621 AIRPORT BLVD
AUSTIN, TX 78751
(30.3183243953168, -97.7122468246754)",2802507,Routine Inspection
Whataburger #182,78741,12/17/2015,98,"2305 BURLESON RD
AUSTIN, TX 78741
(30.2310032831459, -97.7355970661551)",2800624,Routine Inspection
Villarina Foods of Texas,78746,12/17/2015,100,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.272814658883, -97.8001854199872)",11054621,Routine Inspection
Walgreens #13444,78748,12/17/2015,100,"120 W SLAUGHTER LN
AUSTIN, TX 78748
(30.1674672563981, -97.7889156984386)",10495238,Routine Inspection
Circle K Store #2704688,78726,12/17/2015,80,"11000 FM 2222 RD
AUSTIN, TX 78726
(30.3967896943804, -97.8481759567855)",10758287,Routine Inspection
Hilton Garden Inn North Austin,78753,12/17/2015,90,"12400 N IH
AUSTIN, TX 78753
(30.4029599499382, -97.6753523326856)",10125812,Routine Inspection
"Mom's Convenience Store, Inc.",78736,12/17/2015,65,"10900 W US 290 HWY
AUSTIN, TX 78736
(30.2220044681101, -97.9563656400765)",10234230,Routine Inspection
Waffle House,78744,12/17/2015,86,"7809 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.2183070630899, -97.6879648177193)",11353722,Routine Inspection
Flattrack Coffee,78702,12/17/2015,100,"913 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.2604775718446, -97.7348247373989)",11130673,Routine Inspection
Pekitas,78757,12/17/2015,92,"8762 RESEARCH BLVD
AUSTIN, TX 78757
(30.3660139549409, -97.7199246024967)",11114018,Routine Inspection
BC - We Olive & Wine Bar,78738,12/17/2015,97,"12800 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.3091978459434, -97.9401615129303)",11087595,Routine Inspection
BC - Bamam,78738,12/17/2015,98,"14211 W SH
BEE CAVE, TX 78738
(30.3092093815789, -97.963219266218)",10737435,Routine Inspection
Subway #30984,78701,12/17/2015,93,"1210 SAN ANTONIO ST
AUSTIN, TX 78701
(30.2762292552006, -97.7451754339641)",10358571,Routine Inspection
MN - Las Salsas Bar & Grill Mexican Restaurant,78653,12/17/2015,92,"11007 E US 290 HWY
MANOR, TX 78653
(30.348361543647, -97.5586579627678)",11054708,Routine Inspection
MN - Manor Express Mart,78653,12/17/2015,94,"12130 N FM 973 RD
MANOR, TX 78653
(30.3373866010981, -97.558880993239)",10188186,Routine Inspection
Manchaca Food Mart,78745,12/17/2015,93,"5304 MANCHACA RD
AUSTIN, TX 78745
(30.2184484677064, -97.7959417684297)",2803931,Routine Inspection
Subway #10569,78748,12/16/2015,97,"2110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.1754302991165, -97.8256499028742)",2801380,Routine Inspection
Shoal Crossing Event Center,78759,12/16/2015,99,"8611 N MOPAC EXPY
AUSTIN, TX 78759
(30.373462765896, -97.739748377599)",10692332,Routine Inspection
Lakehills Grocery,78733,12/16/2015,81,"1500 N CUERNAVACA DR
AUSTIN, TX 78733
(30.3385067726661, -97.8647838576274)",2801959,Routine Inspection
Comfort Suites,78660,12/16/2015,91,"15112 FM 1825 RD
AUSTIN, TX 78660
(30.4443326374385, -97.6660931753847)",10278581,Routine Inspection
Mary's Tacos,78753,12/16/2015,79,"220 E ANDERSON LN
AUSTIN, TX 78753
(30.3435759908765, -97.7037577355188)",11159968,Routine Inspection
Taco Cabana #203,78758,12/16/2015,98,"8415 RESEARCH BLVD
AUSTIN, TX 78758
(30.3585480441988, -97.7156748797956)",2800517,Routine Inspection
Which Wich,78705,12/16/2015,76,"2348 GUADALUPE ST
AUSTIN, TX 78705
(30.2873992387582, -97.7418454628619)",2802977,Routine Inspection
